"population_id","age","race","hcez"
1,"0-4","Hispanic","North/Central"
2,"5-19","Hispanic","North/Central"
3,"20-49","Hispanic","North/Central"
4,"50-79","Hispanic","North/Central"
5,"80-","Hispanic","North/Central"
6,"0-4","Asian","North/Central"
7,"5-19","Asian","North/Central"
8,"20-49","Asian","North/Central"
9,"50-79","Asian","North/Central"
10,"80-","Asian","North/Central"
11,"0-4","Black","North/Central"
12,"5-19","Black","North/Central"
13,"20-49","Black","North/Central"
14,"50-79","Black","North/Central"
15,"80-","Black","North/Central"
16,"0-4","White","North/Central"
17,"5-19","White","North/Central"
18,"20-49","White","North/Central"
19,"50-79","White","North/Central"
20,"80-","White","North/Central"
21,"0-4","Other","North/Central"
22,"5-19","Other","North/Central"
23,"20-49","Other","North/Central"
24,"50-79","Other","North/Central"
25,"80-","Other","North/Central"
26,"0-4","Hispanic","Near South"
27,"5-19","Hispanic","Near South"
28,"20-49","Hispanic","Near South"
29,"50-79","Hispanic","Near South"
30,"80-","Hispanic","Near South"
31,"0-4","Asian","Near South"
32,"5-19","Asian","Near South"
33,"20-49","Asian","Near South"
34,"50-79","Asian","Near South"
35,"80-","Asian","Near South"
36,"0-4","Black","Near South"
37,"5-19","Black","Near South"
38,"20-49","Black","Near South"
39,"50-79","Black","Near South"
40,"80-","Black","Near South"
41,"0-4","White","Near South"
42,"5-19","White","Near South"
43,"20-49","White","Near South"
44,"50-79","White","Near South"
45,"80-","White","Near South"
46,"0-4","Other","Near South"
47,"5-19","Other","Near South"
48,"20-49","Other","Near South"
49,"50-79","Other","Near South"
50,"80-","Other","Near South"
51,"0-4","Hispanic","Northwest"
52,"5-19","Hispanic","Northwest"
53,"20-49","Hispanic","Northwest"
54,"50-79","Hispanic","Northwest"
55,"80-","Hispanic","Northwest"
56,"0-4","Asian","Northwest"
57,"5-19","Asian","Northwest"
58,"20-49","Asian","Northwest"
59,"50-79","Asian","Northwest"
60,"80-","Asian","Northwest"
61,"0-4","Black","Northwest"
62,"5-19","Black","Northwest"
63,"20-49","Black","Northwest"
64,"50-79","Black","Northwest"
65,"80-","Black","Northwest"
66,"0-4","White","Northwest"
67,"5-19","White","Northwest"
68,"20-49","White","Northwest"
69,"50-79","White","Northwest"
70,"80-","White","Northwest"
71,"0-4","Other","Northwest"
72,"5-19","Other","Northwest"
73,"20-49","Other","Northwest"
74,"50-79","Other","Northwest"
75,"80-","Other","Northwest"
76,"0-4","Hispanic","Southwest"
77,"5-19","Hispanic","Southwest"
78,"20-49","Hispanic","Southwest"
79,"50-79","Hispanic","Southwest"
80,"80-","Hispanic","Southwest"
81,"0-4","Asian","Southwest"
82,"5-19","Asian","Southwest"
83,"20-49","Asian","Southwest"
84,"50-79","Asian","Southwest"
85,"80-","Asian","Southwest"
86,"0-4","Black","Southwest"
87,"5-19","Black","Southwest"
88,"20-49","Black","Southwest"
89,"50-79","Black","Southwest"
90,"80-","Black","Southwest"
91,"0-4","White","Southwest"
92,"5-19","White","Southwest"
93,"20-49","White","Southwest"
94,"50-79","White","Southwest"
95,"80-","White","Southwest"
96,"0-4","Other","Southwest"
97,"5-19","Other","Southwest"
98,"20-49","Other","Southwest"
99,"50-79","Other","Southwest"
100,"80-","Other","Southwest"
101,"0-4","Hispanic","West"
102,"5-19","Hispanic","West"
103,"20-49","Hispanic","West"
104,"50-79","Hispanic","West"
105,"80-","Hispanic","West"
106,"0-4","Asian","West"
107,"5-19","Asian","West"
108,"20-49","Asian","West"
109,"50-79","Asian","West"
110,"80-","Asian","West"
111,"0-4","Black","West"
112,"5-19","Black","West"
113,"20-49","Black","West"
114,"50-79","Black","West"
115,"80-","Black","West"
116,"0-4","White","West"
117,"5-19","White","West"
118,"20-49","White","West"
119,"50-79","White","West"
120,"80-","White","West"
121,"0-4","Other","West"
122,"5-19","Other","West"
123,"20-49","Other","West"
124,"50-79","Other","West"
125,"80-","Other","West"
126,"0-4","Hispanic","Far South"
127,"5-19","Hispanic","Far South"
128,"20-49","Hispanic","Far South"
129,"50-79","Hispanic","Far South"
130,"80-","Hispanic","Far South"
131,"0-4","Asian","Far South"
132,"5-19","Asian","Far South"
133,"20-49","Asian","Far South"
134,"50-79","Asian","Far South"
135,"80-","Asian","Far South"
136,"0-4","Black","Far South"
137,"5-19","Black","Far South"
138,"20-49","Black","Far South"
139,"50-79","Black","Far South"
140,"80-","Black","Far South"
141,"0-4","White","Far South"
142,"5-19","White","Far South"
143,"20-49","White","Far South"
144,"50-79","White","Far South"
145,"80-","White","Far South"
146,"0-4","Other","Far South"
147,"5-19","Other","Far South"
148,"20-49","Other","Far South"
149,"50-79","Other","Far South"
150,"80-","Other","Far South"
